epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1030.13,2.28266,1.43969,1.24248,0.34366,0.5846,0.30255,0.07304,2.93665,1.51951,1.12864,0.00053225,0.00053225,0.00053225
60,1039.41,2.31911,1.46944,1.25926,0.34401,0.55573,0.30603,0.08997,2.77762,1.5756,1.13356,0.000519875,0.000519875,0.000519875
61,1048.67,2.34041,1.57053,1.2397,0.31341,0.51537,0.27152,0.07079,2.9599,1.51594,1.13693,0.0005075,0.0005075,0.0005075
62,1058.07,2.32674,1.48065,1.27578,0.33282,0.55095,0.32022,0.09543,2.77688,1.48496,1.11675,0.000495125,0.000495125,0.000495125
63,1067.49,2.34958,1.45308,1.26674,0.35057,0.51926,0.3234,0.09422,2.72605,1.53664,1.18044,0.00048275,0.00048275,0.00048275
64,1076.88,2.28982,1.54728,1.21554,0.30642,0.50104,0.29509,0.0787,2.87933,1.52622,1.2049,0.000470375,0.000470375,0.000470375
65,1086.32,2.32735,1.47123,1.21629,0.32089,0.46487,0.27885,0.06208,3.15177,1.46103,1.16734,0.000458,0.000458,0.000458
66,1095.84,2.2675,1.41851,1.22894,0.38542,0.53939,0.34679,0.09511,2.80172,1.48608,1.11267,0.000445625,0.000445625,0.000445625
67,1105.41,2.34117,1.46139,1.26626,0.31752,0.56757,0.31298,0.09597,2.71878,1.50265,1.11465,0.00043325,0.00043325,0.00043325
68,1114.91,2.28414,1.49961,1.17661,0.35034,0.5643,0.30879,0.08201,2.87594,1.54216,1.16427,0.000420875,0.000420875,0.000420875
69,1124.47,2.23788,1.52633,1.20472,0.33889,0.49219,0.30344,0.08343,2.89313,1.46282,1.15325,0.0004085,0.0004085,0.0004085
70,1133.99,2.24895,1.41996,1.2337,0.33341,0.55213,0.32953,0.10006,2.73598,1.48086,1.13656,0.000396125,0.000396125,0.000396125
71,1143.45,2.30728,1.46284,1.23039,0.31575,0.49739,0.31848,0.0906,2.77711,1.47721,1.14695,0.00038375,0.00038375,0.00038375
72,1153.02,2.26877,1.46227,1.23991,0.26808,0.5635,0.30231,0.08972,2.78764,1.49814,1.14295,0.000371375,0.000371375,0.000371375
73,1162.58,2.30933,1.4669,1.23872,0.30702,0.5792,0.31271,0.09169,2.78631,1.47916,1.12312,0.000359,0.000359,0.000359
74,1171.98,2.20374,1.45626,1.23919,0.3226,0.56946,0.31929,0.09285,2.77054,1.46376,1.11175,0.000346625,0.000346625,0.000346625
75,1181.52,2.22436,1.41337,1.23521,0.33956,0.55563,0.32786,0.08418,2.9258,1.43338,1.1282,0.00033425,0.00033425,0.00033425
76,1190.99,2.16709,1.43745,1.20176,0.32632,0.53764,0.30618,0.08748,2.82752,1.45715,1.11427,0.000321875,0.000321875,0.000321875
