epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,130.481,1.61348,1.06705,1.2901,0.72584,0.69401,0.73486,0.27602,2.05999,1.16621,1.53754,0.000458,0.000458,0.000458
66,132.152,1.56926,1.03461,1.29032,0.68366,0.69687,0.73253,0.27618,2.09592,1.1361,1.57136,0.000445625,0.000445625,0.000445625
67,133.822,1.5022,1.02188,1.26966,0.65125,0.76548,0.74439,0.26956,2.1197,1.13946,1.57117,0.00043325,0.00043325,0.00043325
68,135.571,1.50668,1.03411,1.27537,0.65727,0.73421,0.7115,0.28041,2.04959,1.11368,1.49023,0.000420875,0.000420875,0.000420875
69,137.258,1.52153,1.02699,1.23342,0.69897,0.69376,0.71825,0.28251,2.07541,1.1265,1.51125,0.0004085,0.0004085,0.0004085
70,139.145,1.51571,1.00833,1.22033,0.682,0.69502,0.72287,0.27666,2.11534,1.1917,1.56906,0.000396125,0.000396125,0.000396125
71,140.895,1.50094,1.01612,1.2331,0.71946,0.76614,0.75876,0.28437,2.08561,1.16376,1.55459,0.00038375,0.00038375,0.00038375
72,142.602,1.47446,0.99318,1.2502,0.72279,0.70517,0.75205,0.30101,2.07289,1.11432,1.53827,0.000371375,0.000371375,0.000371375
73,144.331,1.49383,0.98139,1.23283,0.72553,0.69416,0.76256,0.30614,2.06141,1.13214,1.54155,0.000359,0.000359,0.000359
74,146.4,1.50099,0.99634,1.2418,0.68371,0.78874,0.77751,0.30072,2.07822,1.13799,1.53949,0.000346625,0.000346625,0.000346625
75,148.136,1.5043,0.99845,1.23901,0.72821,0.79967,0.79333,0.3082,2.06501,1.12174,1.54747,0.00033425,0.00033425,0.00033425
76,150.131,1.48539,0.98691,1.243,0.69703,0.80009,0.79455,0.30581,2.06444,1.07997,1.56489,0.000321875,0.000321875,0.000321875
77,152.048,1.48838,0.96497,1.22019,0.70806,0.77307,0.76383,0.29143,2.08441,1.0768,1.53546,0.0003095,0.0003095,0.0003095
78,153.793,1.45789,0.96699,1.2206,0.75879,0.70192,0.77532,0.30591,2.04169,1.10899,1.49622,0.000297125,0.000297125,0.000297125
79,155.665,1.49542,0.99812,1.23216,0.76225,0.73843,0.79533,0.31059,2.02538,1.12201,1.51192,0.00028475,0.00028475,0.00028475
80,157.46,1.48573,1.00035,1.2361,0.75533,0.68529,0.74368,0.31019,2.01819,1.09452,1.542,0.000272375,0.000272375,0.000272375
81,159.172,1.41688,0.96965,1.20679,0.79652,0.703,0.7573,0.30847,2.02838,1.08894,1.55157,0.00026,0.00026,0.00026
82,160.877,1.41451,0.96962,1.22457,0.81166,0.73517,0.79298,0.29502,2.06644,1.08755,1.57512,0.000247625,0.000247625,0.000247625
83,162.598,1.415,0.95311,1.19791,0.77645,0.75367,0.79138,0.29808,2.06121,1.06529,1.54327,0.00023525,0.00023525,0.00023525
84,164.49,1.41825,0.94166,1.19416,0.76755,0.7089,0.76587,0.30077,2.03497,1.06105,1.51787,0.000222875,0.000222875,0.000222875
85,166.214,1.40581,0.93303,1.2054,0.79975,0.70492,0.76785,0.30303,2.03768,1.07301,1.53029,0.0002105,0.0002105,0.0002105
86,168.124,1.46504,0.95961,1.19557,0.823,0.72582,0.78728,0.31496,2.04321,1.08212,1.55424,0.000198125,0.000198125,0.000198125
87,169.846,1.3995,0.93955,1.20252,0.83805,0.75526,0.80871,0.31179,2.07648,1.09554,1.5834,0.00018575,0.00018575,0.00018575
88,171.525,1.41617,0.93377,1.18773,0.8462,0.7351,0.80565,0.31692,2.02299,1.07086,1.53857,0.000173375,0.000173375,0.000173375
89,173.195,1.36492,0.93701,1.1969,0.85316,0.73516,0.81054,0.32123,2.01587,1.06555,1.52142,0.000161,0.000161,0.000161
90,174.88,1.35676,0.9041,1.17844,0.81783,0.71039,0.77572,0.31037,2.02383,1.06898,1.53646,0.000148625,0.000148625,0.000148625
91,196.463,1.44533,1.09264,1.23815,0.78164,0.73051,0.77694,0.31082,2.04991,1.09977,1.58191,0.00013625,0.00013625,0.00013625
92,198.241,1.36105,1.03313,1.22607,0.81426,0.71302,0.79077,0.30847,2.06154,1.11158,1.58413,0.000123875,0.000123875,0.000123875
93,199.996,1.35486,1.00955,1.21282,0.7906,0.69772,0.78299,0.30679,2.06455,1.1154,1.58614,0.0001115,0.0001115,0.0001115
94,201.659,1.36327,1.0204,1.22076,0.77868,0.72647,0.78637,0.30937,2.05244,1.13058,1.57858,9.9125e-05,9.9125e-05,9.9125e-05
95,203.383,1.31074,0.96894,1.2077,0.80588,0.72847,0.79325,0.30886,2.04862,1.13105,1.59005,8.675e-05,8.675e-05,8.675e-05
96,205.152,1.31199,0.9563,1.19837,0.82149,0.73652,0.80309,0.3099,2.04817,1.11287,1.60325,7.4375e-05,7.4375e-05,7.4375e-05
97,206.751,1.31159,0.95417,1.18565,0.81314,0.73872,0.79364,0.30651,2.0476,1.09971,1.605,6.2e-05,6.2e-05,6.2e-05
98,208.341,1.26895,0.91837,1.20745,0.80054,0.73403,0.77831,0.30054,2.05174,1.08519,1.60593,4.9625e-05,4.9625e-05,4.9625e-05
99,209.973,1.26538,0.92261,1.19531,0.79267,0.73598,0.78399,0.30211,2.05284,1.074,1.61463,3.725e-05,3.725e-05,3.725e-05
100,211.595,1.28717,0.9355,1.19367,0.78871,0.72696,0.78043,0.30679,2.05696,1.07634,1.61302,2.4875e-05,2.4875e-05,2.4875e-05
